x y err_x err_y
0 0 -0.785126 -0.557404
100 0 -0.48526 0.0015564
200 0 -0.0570679 0.562012
300 0 -0.421906 0.656982
400 0 -0.0203018 1.79172
500 0 -0.715317 1.39651
600 0 -0.652161 1.71808
700 0 -0.519775 1.20587
800 0 -0.0494995 1.36243
900 0 0.843567 0.788666
1000 0 2.19363 0.569702
0 100 -1.12125 -0.447853
100 100 -0.377563 0.286964
200 100 -0.266632 0.590141
300 100 -0.47226 1.01839
400 100 -0.268929 1.71554
500 100 -0.904366 1.58477
600 100 -1.0266 1.82899
700 100 -0.878143 1.40165
800 100 -0.64917 1.54176
900 100 0.528137 1.40568
1000 100 1.85229 1.07081
0 200 -0.856171 -0.542831
100 200 -0.314667 -0.22644
200 200 -0.439972 0.173782
300 200 -0.461029 0.444695
400 200 -0.533134 0.962067
500 200 -1.21302 1.10886
600 200 -1.27553 1.17269
700 200 -1.37169 1.28613
800 200 -1.04846 1.7641
900 200 -0.129028 1.53033
1000 200 1.58951 1.59065
0 300 -1.48569 -0.91378
100 300 -0.378906 -0.749542
200 300 -0.617157 -0.618919
300 300 -0.483307 -0.0700989
400 300 -0.672722 -0.0412598
500 300 -1.28181 0.366631
600 300 -1.49411 0.753578
700 300 -1.45216 1.06254
800 300 -1.20129 1.32565
900 300 -0.204071 1.5489
1000 300 1.47852 1.91914
0 400 -1.74466 -1.36508
100 400 -0.647034 -1.26584
200 400 -0.893463 -0.921463
300 400 -0.884827 -0.897354
400 400 -0.762932 -0.7258
500 400 -1.57271 -0.197601
600 400 -1.79997 0.155151
700 400 -1.7908 0.594009
800 400 -1.547 1.25009
900 400 -0.63269 1.73163
1000 400 0.988861 2.1839
0 500 -2.24802 -1.23291
100 500 -0.870392 -1.91733
200 500 -1.6022 -1.34857
300 500 -1.13828 -1.30545
400 500 -1.29319 -0.965393
500 500 -1.83297 -0.579712
600 500 -1.97195 -0.206696
700 500 -1.96817 0.54187
800 500 -1.40723 1.08734
900 500 -0.772675 1.76309
1000 500 1.29785 2.73959
0 600 -2.83096 -1.36728
100 600 -1.43768 -1.8725
200 600 -2.27219 -1.4245
300 600 -1.59174 -1.57483
400 600 -1.98248 -1.24042
500 600 -2.13156 -0.622528
600 600 -2.02476 -0.149963
700 600 -1.88815 0.655334
800 600 -1.59418 1.35486
900 600 -1.03659 1.67807
1000 600 1.44803 3.30441
0 700 -2.88821 -1.69528
100 700 -2.43823 -1.60831
200 700 -2.34903 -1.53745
300 700 -2.42532 -1.14969
400 700 -2.329 -0.844391
500 700 -2.44965 -0.424866
600 700 -2.20283 0.0496216
700 700 -1.88834 0.929199
800 700 -1.37051 1.81653
900 700 -1.07568 2.18292
1000 700 1.08237 3.85635
